Duration (in seconds),ResponseId,Which Group,Coder Experience,WorkingJava,FindingVulns,PathLines,PathMotivation,InjectionLines,InjectionMotivation,XSSLines,XSSMotivation,DoSLines,DoSMotivation,Familiar.Java,Familiar.Vuln,Difficulty.Marks_1,Difficulty.Marks_2,Difficulty.Marks_3,Difficulty.Marks_4,Difficulty.Correct_1,Difficulty.Correct_2,Difficulty.Correct_3,Difficulty.Correct_4,Process.Understand,Process.Time,Process.Training,Process.remarks
3713,R_2dLr1JpvotIPkms,Group1,Yes but in another programming language at a Company,As part of University projects,No experience,206,"The path that can be input isn't actually normalized just because it is prefixed with '/'. If you know a subfolder s you can access parent folders via /s/../.., which is normally prevented by the normalize() method, but not in the method getContext()",-,"To my understanding the input is never directly queried into a database, which implies that vulnerabilities like SQL injections do not exist in the given code snippet.",447,"I cannot see what getRequestContext().getQueryString()  in line 445 returns, but if that method does not sanitize you would eventually be able to run e.g. an inserted script in line 451 through the method processAction()",-,"Whenever more storage would be needed to parse the header, the private method just returns a status that causes the calling public method to stop its loop to read the header further. No ressources are allocated that would cause an overflow.",Agree,Neither-Agree-nor-Disagree,Easy,Hard,Neither Hard Nor Easy,Hard,60-80%,20-40%,40-60%,20-40%,Strongly agree,Strongly agree,Disagree,I see that you are still asking for our sex. Given your explanation in one of the previous lectures it seems to me that you are actually asking for our gender. I would therefore urge you to use the correct terminology.
3153,R_22tOywUEy1MDak3,Group4,Not really,No experience,No experience,509; 517,The getResourceAsStream() function takes an input and returns the resource of a given path. The attacker can give the idea of a safe path and use this to get the resources of a file that they don't have access to.,183; 185; 296,"The size of the array called ""list"" depends on the number of commas or the number of roles the user has so it may decrease server's performance or even kill it. Moreover, if there is a problem in line 296, line 298 will not be executed. ",73;  76,Line 76 processes the action after retrieving the URI. There aren't any checks on the URI so the attacker could simply replace it with code and the code will be processed.,51; 55; 109,"Lines 51 and 109 include while loops that only depend on user input. In line 55, the buf array which is used all over in the code later on is also defined by the user and has no conditions.",Neither-Agree-nor-Disagree,Disagree,Easy,Hard,Easy,Hard,0-20%,0-20%,0-20%,0-20%,Strongly agree,Strongly agree,Agree,
3181,R_NXaAZaoGFQAclY5,Group4,Not really,As part of University projects,As part of University projects,483;928;930,"the function getJNDIUri creates a path based on the hostname and path, no validation is done on the resulting string which is then used in getResource, meaning that an attacker could manipulate what is returned due to the lack of input validation",144;195;237;250,"No input validation is done on the credentials entered by the user, so malicious input could be given by an attacker which will be stored and returned by the lines specified.",73;76,"The requested URI is taken without any processing/validation, then processed as action. This allows an attacker to request a URI with malicious elements which iwll be interpreted as actions that the code execudes without validation",177,this loop reads until the end of the line is reached. If a malicious attacker has an input that doesn't terminate this loop the loop will run infinitely and cause the service to become unavailable to parse new requests,Neither-Agree-nor-Disagree,Agree,Easy,Neither Hard Nor Easy,Very Easy,Easy,60-80%,40-60%,60-80%,40-60%,Agree,Strongly agree,Disagree,"The training videos were very hard to follow, the slides were near-unreadable since the video was ~70% black screen with the slides being a small off-center box, where the teacher's webcam sometimes covered important parts of the introduction."
3957,R_1OvnM8Bpk1kam5r,Group3,Not really,No experience,As part of University projects,48;75,"1. line 48 ""import ./ServerInfo;"" may lead to information disclosure, it's unsafe to save the information in a file and load it directly
2. function ""getRequestDispatche"" may cause a denial of service, the input does not set any limitations",62;82," the digest functuin use a simple encoding method, may lead to information disclosure ",447,"if somebody try this request again and again, it may lead denial of service, but I am not sure we need to limit the time of requests here",374,"I am not sure about this answer, it seems that we can check the length of constant in case of not lead to some memory problems",Neither-Agree-nor-Disagree,Agree,Hard,Easy,Hard,Easy,60-80%,60-80%,40-60%,20-40%,Strongly agree,Strongly agree,Agree,"I think the file of dos_f.java does not have any problems, it only something about the buffer"
3849,R_1hYeAlqhuGI1fOO,Group3,Yes but in another programming language at a Company,As part of University projects,No experience,87;95;108,"87 uses url that could contain malicious content
95 getRequest method and if it's not validated or sanitized it can lead to injection vulnerabilities
108 normalizes paths so if it's done inappropriately it can lead to a path traversal",62;90,62; possible weak encryption of the password | 90; may return null references,466,It doesn't check the validity the page it requests,418,multiple thread block can lead to DoS,Disagree,Agree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Agree,Strongly agree,Strongly agree,
4346,R_1cTcawAFlCftIi6,Group2,Yes but in another programming language at a Company,As part of University projects,As part of University projects,111;114;116,"If the user inputs a path like ""/file/../file"" where the ""/../ "" is in the middle of the path, the program will lead to a Path Traversal.",147;210;236;299,Leading to a Information Disclosure because of too many error messages or the user information,67;69;74;76,Get input from servlet which will lead to a XSS,103;398;420,May kill the server by filling all memory,Agree,Neither-Agree-nor-Disagree,Easy,Hard,Hard,Easy,40-60%,20-40%,20-40%,60-80%,Strongly agree,Strongly agree,Agree,
3612,R_3oQFWPaE18bzTOW,Group4,Not really,No experience,No experience,339;463,"339: This function does not contain a recognition of /
463: This function it's path recognition is improper, because whenever it starts with ""libPath"" and ends with "".jar"", it assumes that the path is safe to use. But that's not always the case
",144,144: They do not check if the username's input,73,"73: in this line you see a getRequest followed by response, where the validity of the input will not be checked",114;55,"114: Need more data, but we can decided to not give the data, which makes it stop working   55: contains buffer size which we can alter ",Disagree,Agree,Neither Hard Nor Easy,Easy,Easy,Neither Hard Nor Easy,60-80%,60-80%,60-80%,40-60%,Agree,Strongly agree,Strongly agree,
3523,R_3IWtk06QJIfb87q,Group3,Not really,As part of University projects,No experience,"75;78;79;114,118",input request from user and path position is appended with new application dispatcher as null,58;59;61;62;85;86;87,The login credentiala are validated but does not authenticate login. The byte size is null.,391,looks like unwanted exception raised. ,475,heavy resources not released and single user allocation,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Agree,
4086,R_21sxZN0xSIk4qTj,Group1,Yes as a Research Assistant at University,As part of University projects,As part of University projects,840; 928; 930,"(928, 930)Hostname is used for creating the path directly.
(840) Although I haven't found any error in the ""normalize"" method, if anything is missing or the if/else cases are badly programmed this could be a vulnerability in the sanitizing method. 

",93,Can throw NullReference exception,445; 447; 466; 480 ,"In all of these cases, the request or query is not validated before using its data, this means there could be malicious code for XSS behind it. ",50;76,"the checking for the size of the header is done after parsing the headers, so if the user were to set a very long header(s). The program would invest a big amount of time on processing that header and thus become stuck. ",Neither-Agree-nor-Disagree,Agree,Hard,Easy,Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,40-60%,Agree,Agree,Agree,
3318,R_2CNgG1jDwk53nvK,Group6,Not really,As part of University projects,No experience,77;96;112,The reason for these lines being vulnerable is that extra . and / characters can be put and the attackers can use that to bypass validation methods.,153;163;196;237;292,Improper input validation,332;360;361;429;437;468;482,Lacking input sanitation and displaying cross site output without encryption,83;94;118,These could lead to stack overflow.,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Very Hard,Neither Hard Nor Easy,20-40%,20-40%,0-20%,0-20%,Agree,Agree,Disagree,
3624,R_3k7ErOo51YmiLjf,Group6,Yes but in another programming language at a Company,Developed several projects using Java,No experience,116;,It only checks for '/../' and not other vulnerable paths.,187;294;,"187 looks like a DoS attack, as there is no check on the roles that can be added or on it's size. It may also be a good idea to clear the bytes so that we do not do an md.update() on errored out bytes. ",447;451;468;,The query string is considered as part of the URL and then it is processed later on.,136;166;191;231;,"There is no cheeck on the length of the header name length, spaces, line length, or the number of lines. The while loop will not end as there is no upper constraint provided to these loops.",Neither-Agree-nor-Disagree,Agree,Neither Hard Nor Easy,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Agree,Agree,Agree,
3703,R_5Bjq6Q5Eda092bn,Group5,Not really,No experience,No experience,451,This line of code may  cause the information Disclosure.,62,"If the password was null, it may throw null reference exception.",68,"the use of StringUtils.hasText() assumes that the input is non-null, non-empty, and contains non-whitespace characters, which may not always be true and could lead to unexpected behavior.",456,"The StringManager object is typically used for localizing error messages and other strings in the application, but it's possible that the message could be crafted to include user-provided input or other sensitive data.",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,20-40%,20-40%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,
4047,R_3kpREA7clqzBhW4,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,111; 114;,"114: The attacker may use these two lines to change the file's location, and it may mislead the user to the wrong website/file. And then it may cause information disclosure.",164; 236; 301;,"The attacker can find the error messages through these above lines to help them get some informations, and it can cause information disclosure.",360; 365; 446; 447,The attacker can use these inject scripts to have the access to the targeted application.,55; 109; 127; 224,"55: The attacker can change the size of buffer to ""kill"" the server by filling it. 109: Attacker can control the loop. The line 127 and 224 should break in the end block.",Agree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,40-60%,40-60%,40-60%,40-60%,Strongly disagree,Strongly disagree,Agree,
4247,R_1OH4FW3H64iAgIu,Group3,Yes in Java at a Company,Developed several projects using Java,As part of University projects,119;120,"There is no check that path actually starts with ""/' as stated in the assumption and in the normalize() method the unhandled exception with too many details is thrown when you load a path like this: ""../../../."". Also null pointer for path=null",86;87;88;89;90;91,Try without catch and exceptions on credentials=null,365,Can exploit xss via hidden input tag ,98,"headerBufferSize size never validated in the alternate constructor, can be too large",Neither-Agree-nor-Disagree,Agree,Hard,Hard,Very Hard,Easy,40-60%,40-60%,40-60%,40-60%,Agree,Agree,Neither-Agree-nor-Disagree,
4010,R_1hBi5XNfwi1cv6p,Group2,Not really,No experience,As part of University projects,89;92;115;117,Missing corresponding conditional statement,282;299;289;291,"losing ""finally"" statement",75;88,No validity check for request statement,418;420,"losing proper statement for ""try""",Strongly disagree,Disagree,Very Hard,Very Hard,Very Hard,Very Hard,20-40%,20-40%,0-20%,0-20%,Disagree,Agree,Disagree,
4253,R_2qrUe6XhxGreo3M,Group4,Not really,As part of University projects,No experience,204; 396; 514; 753,Normal execution is executed. It should include a finally in case the code throws an exception before it is done.,;,Couldn't find any vulnerable lines,87; 74,gets input from http entity. and does not check for validity,83;118;164;187;220;,program can be killed if all memory is used.,Agree,Disagree,Hard,Hard,Easy,Hard,0-20%,0-20%,60-80%,0-20%,Strongly agree,Disagree,Disagree,
4776,R_1ifn94RNqMnEO3L,Group4,Yes but in another programming language at a Company,Developed project(s) using Java outside University,No experience,"364;394;449;452;537,480;900",These lines are all related to the fact that the developer is exposing a path to the potential attacker by throwing the exception that includes the path of the resource. the developer did not check for the existence of the resource on that path.,"151,153,195",In all the cases password was not checked for anything like maybe there is a script in password which was sent from Front-end. Attacker can add script to password. It was not even checked for null which is dangerous to save password of null,89,This line is the main problem because there was an http request but does not check the input for validity. It only checks if it is null. This is doing actual process action which echos to user,"51,73,109,151",these lines we are looping on headers which was sent from end user (or attacker) which can be alot and based on limited resources could crash server and result in Denial of Service,Agree,Agree,Hard,Neither Hard Nor Easy,Easy,Easy,60-80%,60-80%,80%-100%,80%-100%,Agree,Agree,Agree,If we had assignment at hand to practice would be great.
3574,R_2Ui9T81qAVvDLZx,Group3,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,79;87; 110;113;,"If path is null, there can be null reference exception in line 79 and 87. 
And there can be an infinite while loop at line 113.
",87;66;,Information Disclosure at line 66,386; 467; 481; 492; ,"at lines 386, 467, 481 http methods are used. and at 492 public identifier is used",274; 399;,"In line 399, array is used.",Agree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Hard,Hard,60-80%,60-80%,40-60%,40-60%,Strongly agree,Strongly agree,Strongly agree,
3452,R_UGgNHuEYVqUoxtT,Group1,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities for several projects,200;518;687;741;,"I controlled ""try catch""s and if-else conditions. Also I checked returned value.",62;65,validated is not defined before using it,382,string and boolean cannot be compared,224,no need break because it continue with while loop.,Strongly disagree,Disagree,Neither Hard Nor Easy,Hard,Hard,Neither Hard Nor Easy,20-40%,0-20%,0-20%,20-40%,Agree,Agree,Disagree,
3795,R_3KxqXVic7WpJT1D,Group5,Not really,No experience,As part of University projects,300; 348; 349,"Get MIME type of the specified file, but the MIME type cannot be determined. It could be threatened. For the 348 and 349, creating a new or absolute path.


",62; 66;,When the username is null or special letter.,74,In the getRequestUri is collowed by response,148; 153; 159,Maximum allowed size of the HTTP request could be overload. If the skipBlankLinesSize is larger than 1024.,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Very Hard,40-60%,40-60%,40-60%,0-20%,Agree,Agree,Agree,
4201,R_2y78wOxzuEMlJGc,Group3,Yes as a Research Assistant at University,Developed project(s) using Java outside University,No experience,76;117,"The code only checks if the "".."" is at the beginning of the input string. There could be a case where the malicious user inserts ""/foo/bar/../../../../"" which would lead to going outside the context.",59,"As no filtering is done on the username string, there is a possibility for an injection",184;199,"the action and servletAction are set without checking for malicious code, leading to a cross-site-scripting vulnerability when displaying the form",360,"Not including an end of line character, or escaping it would cause the program to go into an infinite loop, therefore causing a DoS",Strongly agree,Agree,Very Easy,Easy,Hard,Hard,80%-100%,80%-100%,60-80%,60-80%,Strongly agree,Strongly agree,Strongly agree,
4404,R_vqVXA6FIua4HmZX,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,463;849;910;927,The path validity check on these lines are too broad.,91;95;93,"Two ""try"" blocks in the program do not come with ""catch"" or ""finally"". There is no validity check before turning the credential into bytes.",70,"It does not perform a validity check for ""action"", which is probably an arbitrary input, before doing an HTTP task.",103;426;433,The constructor does not limit the buffer size. There is not restriction on reading the buffer when the buffer is too large.,Disagree,Neither-Agree-nor-Disagree,Very Hard,Hard,Hard,Very Hard,0-20%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,
3957,R_s5oomC4ENa3owvf,Group4,Yes but in another programming language at a Company,As part of University projects,No experience,200;211;349;517;466;468;483;549,"These lines of code include insufficient input handling, accessing computer files with path strings which are not properly constrained, streaming content from files, getting paths of internal files ",144;235;195;,No input validation of credential before accessing database for lookup,73;66,In these lines the code gets inputs from http-entities and it is not input-validated,76;112;157;180;212,"In these lines of code you keep reading more bytes as needed, which may be infinite as there's no parsing ",Disagree,Agree,Hard,Easy,Hard,Very Hard,20-40%,40-60%,20-40%,0-20%,Strongly agree,Strongly agree,Neither-Agree-nor-Disagree,
3938,R_3MSfnZ4ntLWRAkJ,Group5,Yes but in another programming language at a Company,As part of University projects,No experience,207;273;283;,"207: Does not check if the request is from an authorized source.
273,283: Returning the major and minor versions of the Java Servlet API is not advised.
",62,"Case sensitivity is ignored, this will lead to false authorisation.",72,it is missing a condition to check if it is a servletRelativeAction,256,parsingRequestLinePhase is not continuous. Goes from 0-&gt;2-&gt;3-&gt;4-&gt;5-&gt;6,Disagree,Strongly disagree,Hard,Very Easy,Neither Hard Nor Easy,Very Hard,20-40%,80%-100%,60-80%,20-40%,Agree,Agree,Disagree,
4443,R_2atpanWlsIEAwEv,Group4,Not really,As part of University projects,As part of University projects,479,"479: The normalized user-provided path is added to the root path. Normalization removes ""/../"" but not ""../"", so we can still break out of the context by using the ""/"" of the previous path to complete the ""/../""",151;153,Can crash the code if the credentials are null. The digest function throws a nullptr exception but it is never handled.,68,The user-provided is not recognized and in the else the Uri is processed and the action is used there.,51,"For as long as there are headers to process, the code will loop and try to do so. There is no threshold or limit on their count, so it is possible for a malicious user to slow things down by providing large numbers of headers.",Agree,Neither-Agree-nor-Disagree,Hard,Very Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Strongly agree,Strongly agree,Disagree,
4035,R_3MDzkSHSKJd2ZCx,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,88; 113,"In line 88 (pos &gt;= 0), the pos could be 0 so the code could break. In while loop at line 113 String normalize(String path) there is not an if statement that covers the case where index&gt;0. 
",277; 287,287: It does not specify if the bytes are 0 ,480;465;445,"These lines get an input from an HTTP request object, query strings ",73;151;235,The loop condition is influenced by the user. 235: There is no limit to the buffer space per user.  ,Strongly disagree,Neither-Agree-nor-Disagree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Easy,0-20%,20-40%,20-40%,40-60%,Strongly agree,Strongly agree,Agree,
4653,R_vJn9S8pKtWxEzWp,Group2,Not really,As part of University projects,No experience,125,There is an open bracket at line 125. There is authentification missing in the entire code.,287;290;319,for 287 and 290 there is no NULL exceptions and for 319 it is in public function and the path is given by the user.,85,There is no exception if the string variable action is NULL.,;,I don't see what is vulnerable in the DoS_X.java file,Neither-Agree-nor-Disagree,Disagree,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,Hard,20-40%,20-40%,20-40%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,
3746,R_2VOy34WzkAVb8EH,Group1,Yes but in another programming language at a Company,No experience,No experience,197;339,getRealPath can be used to get the path to the root and from there we can use getContext with anything we like accessing any context,58;59,"We don't validate username, so it can be arbitrary SQL code, run by principals.get ",228;243;258;273;288;464,"user is allowed to inject js code, which is then executed",173;,"There is no limit on header size, it is easy to overload the server by sending many requests with big headers.",Agree,Agree,Hard,Neither Hard Nor Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,60-80%,60-80%,Agree,Agree,Neither-Agree-nor-Disagree,-
4394,R_2czsrX2vGnwNBTw,Group6,Not really,As part of University projects,No experience,75,"Gets an input from user; 
and the path must begin with a ""/"", so even if the input has a sanitization function, 
int pos = path.indexOf('?'); contains error.",156,"what if return principal's username is null, then it's wrong ",324;360,The name of the request param for non-browser supported from an HTTP methods; Does not check the input for validity.,55;,socketReadBufferSize may be limited and cause throwing error; ,Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Hard,Easy,Very Hard,0-20%,0-20%,20-40%,0-20%,Agree,Agree,Agree,
4194,R_1l0LUMxjnkFEQCn,Group5,Yes in Java at a Company,Developed project(s) using Java outside University,As part of University projects,348;368;458;505;543;860,"The normalize method seems obsolete at line 860 thus, every line that call the method is also obsolete as the normalization will not be done correctly resulting in a path vulnerability. Line 348 can also be vulnerable as we are not checking the path.",62;94,"Line 62 is vulnerable as it calls the method digest that is also vulnerable. Indeed, line 94 is vulnerable as we do not handle the exception case in the conversion. Thus, validated will not have a value false and we can enter the next if statement..",69;76;89,"Lines 69 and 76 are vulnerable as we call the processAction method without checking the input.The attacker can inject vulnerbable code. Line 89 is vulnerable as it's where we are executing the code of the attaker, we need to check the action as well.",240;262;306;337;580;602,All these lines contains while loop that can run for a long amount of time or even indefinitely if we give it a specific kind of input.,Agree,Neither-Agree-nor-Disagree,Easy,Easy,Easy,Hard,40-60%,60-80%,60-80%,40-60%,Agree,Agree,Agree,
4499,R_1Kvatmhe3zhnSth,Group3,Only as a Teaching Assistant,As part of University projects,No experience,76;114;115;123;91;93;95,"The normalize function on line 76, calls the indexOf() function on line 114, which searches for pattern ""/../"" while a pattern like ""../"" is ignored. In that case, line 115 breaks the loop and returns the out-of-context path on line 123.",59;87;93;94;61;65,The credentials of the user specify the size of the byte array on line 87. This may cause the system to run out memory and return null. Null causes line 61 to fail which causes line 65 to evaluate an undefined variable and crash.,426;428;429;430;468,A user can configure an action value which is directly evaluated on line 429 and processed on line 468 from the function on line 430.,462;463;583;585;661,"While parsing the headers on line 454, the parseHeader function called on line 462 can read new bytes and return early without calling recycle() on line 661.",Disagree,Neither-Agree-nor-Disagree,Neither Hard Nor Easy,Easy,Hard,Very Hard,60-80%,60-80%,20-40%,20-40%,Neither-Agree-nor-Disagree,Agree,Agree,
4740,R_2t3cbjlrqR5PDgY,Group3,Not really,No experience,No experience,96; 119,lack of constraint of the input,62; 68,to many detailed exposed and lack of process that verifies some situations,434; 443,information disclosure and there no check for the validity of the input,692,there is no limitation for the pos value,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Disagree,
4340,R_DItauU6CBCrfciZ,Group4,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,"155,200,769,777","155 : context is initialised to null ,getResource is truing to access the relative path via a null reference
200:  if ((uri == null) || (!uri.startsWith(""/"")))  ---&gt; here startwith string refernce could be manipulated
769 :
777:context is initialise
","233,144","144 : getusername retrives the username and credentuals  without proper sanitazation.233:retriveing password method is protected,must be private ",74,response is sent without validation inside request.,177;235,177:while loop result in infinite loop and fill the buffer 235: trying to setBytes from buffer values can lead to DOs,Neither-Agree-nor-Disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,20-40%,20-40%,20-40%,Agree,Agree,Disagree,na
4489,R_21bSXxGzUxO7xsY,Group4,Yes in Java at a Company,Developed several projects using Java,As part of University projects,211;539;926;483,"If the input is like ""/..//"" then it is vulnerable because we may get a path like""//"" .",237,the method of getting password is not protected ,74,An attacker may maliciously add some suffix to the url,151,The termination of loop is user-controlled,Disagree,Neither-Agree-nor-Disagree,Very Hard,Very Hard,Very Hard,Very Hard,0-20%,0-20%,0-20%,0-20%,Disagree,Strongly agree,Strongly disagree,
4864,R_2Bye7BGXEea1w4F,Group3,Not really,Developed several projects using Java,As part of University projects,81,this line has not checked the input of the path string before applying it in a query command.,62,"haven't used try catch, the information of the system might be exposed due to some malicious input.",443,"There's no senitation to the response, which may be vulnerable",425,"the try catch process may stop when execute the first line and will not go to the next. And the Exception may not be throwed, which may cause the DoS",Disagree,Disagree,Hard,Hard,Very Hard,Very Hard,20-40%,40-60%,0-20%,0-20%,Agree,Agree,Disagree,
4607,R_1mR9mw0JhcUID7q,Group4,Not really,As part of University projects,No experience,368;458;505;543," the method normalize(String path) which appears to perform path normalization, making it a potential target for a path traversal attack if it does not correctly handle user input.",195,"line 195 stores passwords in clear text and if the password is Null, it may throw null reference exception",69,"if the evaluation is bad, then it may cause problems.",55,"This line check the buffer size before parsing the headers, and throw an exception if the buffer size is too large. An attacker could send a request with an excessively large header to cause the buffer size check to fail and trigger an exception.",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,0-20%,0-20%,0-20%,0-20%,Agree,Agree,Neither-Agree-nor-Disagree,
5020,R_2dsCthTiQ8gNjOW,Group6,Yes but in another programming language at a Company,As part of University projects,No experience,91;93;107;111,"91;93 Both of them seem to append in a string related to a path
107; The normalize function takes as input the path and therefore it is easy to work with it
111;  The path is manipulated and therefore could lead to Path Traversal",148; 151; 153; 237; 278,148; That if throws null exception if credentials equal to null           151; 153; Both lines use getPassword function on the principal 237; the pasword is returned if principal info is different than null 278; the credentials are returned without a,447;,447; the variable requestUri is made of a concatanation and executes a query,235; 236;,235; I believe this line is malicious because is contains some parameters that can be manipulated so that the next function on line 236; destroys certain elements,Disagree,Agree,Easy,Neither Hard Nor Easy,Easy,Hard,60-80%,40-60%,60-80%,20-40%,Strongly agree,Agree,Neither-Agree-nor-Disagree,
5277,R_3NKwGiLHYVMr4ny,Group1,Yes in Java at a Company,Several years of professional experience with Java,As part of University projects,200;205;300;366;384;402;406;463;483;509;539;734;737;850;854;859;910;928;920;,Most of the checks are either the first character or last characters but do not have any check if it for example begins with a white space. There is no check for multiple break point characters are included in the input.,62;87;90,The only check is byte comparison. This can ealsiy be bruteforced.,184;429;434;447;468;,There is no check for the action if it is in the list of acceptable actions. The user could add a script with an alert.,51;180;187;196;201;212;220,No check on number of headers could be running for a long time if user configures many headers. No upper limit on the content of the header. No condition to check the char it could be an undecodable character.,Agree,Agree,Easy,Easy,Neither Hard Nor Easy,Hard,60-80%,60-80%,40-60%,40-60%,Agree,Agree,Agree,
4967,R_3maQy7at9ZfUwFa,Group1,Yes but in another programming language at a Company,As part of University projects,Find vulnerabilities outside university,348;463;926;,"Line 348: Could be used to potentially get the path of other files.
Line 463: Could point to another file outside the libPath
Line 926: If the path starts with a "".."" or a ""/../"" it could allow URLs to files in the hostname directory",90;,If the credentials are a value that causes an exception for converting to hexadecimal a man in the middle might be able to read the raw value of the passed credentials,342;,"Line 342; In this function there are a lot of get of attributes that are then set in HTML, if set by a malicious attacker they could put in code that executes on the browser returned to legitimate users. ",68,"There are a lot of while loops that an attacker could try and send inputs to that would cause them to run infinitely, thus causing a DDOS attack",Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Hard,Hard,Hard,Hard,40-60%,40-60%,40-60%,40-60%,Agree,Strongly agree,Disagree,
4795,R_1g8yrJ8Wvdxbhzh,Group4,Not really,As part of University projects,No experience,462;471;482,"first, the statement in 462 directly defines the address of the file ,which may cause the file to be unable to be queried, and hackers can easily change the file address. also the 482,  the resource path is easy for hackers to change .",184;236;250,"there will be many errors when loggin in, 184 use better symbols to segment new users.  236/250 too easy to have bugs  when finding the right username and password",66;73;86,"information disclosure, elevation of privileges",56,56:may throw null reference exception ,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Easy,Hard,Hard,Hard,40-60%,20-40%,40-60%,20-40%,Neither-Agree-nor-Disagree,Neither-Agree-nor-Disagree,Agree,
4991,R_3k7KYUeK9efTGTC,Group1,Not really,As part of University projects,No experience,463;432,"463: there may be path traversal problems because if user's input contains things like ""../"", then it is possible that user can access some files beyond their permissions
432: Insufficient input validation, may cause XSS problems

",87;90,87，90: may throw null reference exception,447,"The code doesn't check the input for validity, so there may be XSS problems",83;,may run out of the whole memory,Disagree,Neither-Agree-nor-Disagree,Easy,Neither Hard Nor Easy,Easy,Neither Hard Nor Easy,40-60%,20-40%,40-60%,40-60%,Agree,Agree,Agree,
5148,R_1PcouN9SkV9SC9N,Group6,Not really,As part of University projects,No experience,110;111,"The normalize method could be vulnerable to path traversal attacks. If an attacker can pass in a path that contains ""../"" or ""./"" sequences, the normalize method may not correctly remove them, allowing the attacker to access files or directories",287;335,"These lines exist the information disclosure problem, if the password is null, which may throw the null reference exception. Also, The code uses an XML parser to process an XML input file, that is the input file is supplied by an untrusted source,",386;382;409,"The assertHttpMethod method should be improved to validate against a known list of valid HTTP methods rather than simply checking against the HttpMethod enum, which may not include all valid HTTP methods.",55;56,"Potential Denial-of-Service vulnerability in parseHeader method, if the input buffer contains a very large amount of data, it is possible that this method could consume excessive resources, thus cause the DoS problem.",Disagree,Disagree,Hard,Hard,Hard,Hard,20-40%,0-20%,0-20%,20-40%,Neither-Agree-nor-Disagree,Agree,Neither-Agree-nor-Disagree,
5321,R_2yrpYGZggIq1RyQ,Group1,Yes in Java at a Company,Developed project(s) using Java outside University,No experience,155;471;483;571,the attackers can use these codes to find the lib location,59;62,"if the attacker input username as"" aa' ; drop table user;"" will be interpreted as SQL code. Then database will process this code.",433;451,"if attacker use the url like"".jsp?&lt;script&gt;alert(\""XSS\"")&lt;/script&gt;"", the browser will response this as XSS code",50,"The code does not check the length of header before run it. if attackers input a lot of header value, maybe cause the server be killed.",Neither-Agree-nor-Disagree,Disagree,Hard,Easy,Neither Hard Nor Easy,Neither Hard Nor Easy,20-40%,60-80%,40-60%,40-60%,Agree,Agree,Disagree,
